,Sentiment,Risk,Urgency,Topic,Source Airport,Destination Airport,Carrier
0,Answer: Positive,Low Risk,Non-Immediate,Comfort and Seating,Source Airport Unknown,Destination Airport Unknown,Carrier Unknown.
1,Answer: Positive,Low Risk,Non-Immediate,Customer Experience and Satisfaction,Heathrow,Austin,British Airways
2,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,ZRH,SFO,British Airways
3,Answer: Positive,High Risk,Non-Immediate,Aircraft Condition and Cleanliness,London,Paris,Unknown
4,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,JFK,LHR,Unknown
5,Answer: Negative,High Risk,Immediate,Customer Experience and Satisfaction,London Heathrow,Cape Town,British Airways
6,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,London City,Florence,BA (British Airways)
7,Negative,Low Risk,Non-Immediate,Pricing and Policies,Singapore,London Heathrow,British Airways
8,Negative,High Risk,Immediate,Customer Experience and Satisfaction,Gatwick,Destination Airport,British Airways
9,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,London,Vancouver,British Airways
10,Negative,High Risk,Non-Immediate,Comfort and Seating,City x,City y,Air India
11,Negative,High Risk,Immediate,Comfort and Seating,London,Mumbai,Air India
12,Answer: Positive,Low Risk,Non-Immediate,Customer Experience and Satisfaction,Brussels,Shanghai,British Airways.
13,Answer: Positive,Low Risk,Non-Immediate,Service Quality,London Heathrow,Washington Dulles,Airbus A380.
14,Answer: Positive,Low Risk,Non-Immediate,Comfort and Seating,London Heathrow,Kalamata,British Airways.
15,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,Airport x,Airport y,British Airways
16,Answer: Negative,Low Risk,Non-Immediate,Comfort and Seating,Glasgow,New York,British Airways
17,Negative,High Risk,Non-Immediate,Service Quality,London Heathrow (LHR),Washington,British Airways (BA)
18,Answer: Positive,High Risk,Non-Immediate,Pricing and Policies,London Heathrow,Warsaw,British Airways
19,Answer: Negative,High Risk,Non-Immediate,Comfort and Seating,Bucharest,London Heathrow,British Airways
20,Negative,Medium Risk,Non-Immediate,Flight and In-Flight Experience,London Heathrow,Istanbul,British Airways
21,Negative,High Risk,Non-Immediate,Service Quality,Chicago,London,British Airways
22,Answer: Positive,Low Risk,Non-Immediate,Customer Experience and Satisfaction,Heathrow,Newark,British Airways
23,Negative,High Risk,Non-Immediate,Customer Experience and Satisfaction,Chicago,Chennai,Unknown
24,Answer: Positive,Low Risk,Non-Immediate,In-Flight Experience,Newcastle,Las Vegas,London
25,Answer: Positive,Low Risk,Non-Immediate,Customer Experience and Satisfaction,City x,City y,British Airways
26,Negative,High Risk,Non-Immediate,Pricing and Policies,Heathrow Terminal 5,Cairo,British Airways
27,Answer: Negative,High Risk,Non-Immediate,Food and Catering,London Heathrow,Istanbul,Unknown
28,"Answer:
Positive",Low Risk,Non-Immediate,Service Quality,London Heathrow,Bologna,British Airways
29,Answer: Positive,Low Risk,Non-Immediate,Food and Catering,JFK,LHR,BA
30,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,Heathrow Airport,Paris CDG Airport,British Airways
31,Negative,High Risk,Non-Immediate,Service Quality,Airport x,Airport y,British Airways
32,Answer: Positive,Low Risk,Non-Immediate,Service Quality,Airport x,Airport y,British Airways
33,Answer: Positive,Low Risk,Non-Immediate,Seating and Comfort,NCL,LHR,BA
