,sentiment,categories,urgency,risks,additional_info
0,Positive,"['in-flight service', 'seating', 'staff behavior']",Non-Immediate,[],
1,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'delays']",Immediate,['harm'],
2,Positive,"['in-flight service', 'staff behavior', 'entertainment', 'cleanliness']",Non-Immediate,[],
3,Positive,"['in-flight service', 'ticketing', 'seating']",Non-Immediate,[],
4,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'staff behavior', 'delays', 'entertainment']",Immediate,[],
5,Negative,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'delays']",Non-Immediate,[],
6,Positive,"['in-flight service', 'ticketing', 'staff behavior', 'delays']",Non-Immediate,[],
7,Positive,"['in-flight service', 'ticketing', 'seating', 'staff behavior', 'delays', 'safety']",Non-Immediate,['risk'],
8,Negative,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'delays', 'entertainment']",Non-Immediate,[],
9,Positive,"['in-flight service', 'ticketing', 'seating', 'staff behavior']",Non-Immediate,[],
10,Negative,"['in-flight service', 'seating', 'delays']",Non-Immediate,[],
11,Negative,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'delays', 'entertainment', 'safety']",Non-Immediate,[],
12,Positive,"['in-flight service', 'baggage handling', 'staff behavior', 'delays', 'cleanliness']",Non-Immediate,[],
13,Positive,"['in-flight service', 'baggage handling', 'seating', 'staff behavior', 'delays', 'entertainment']",Immediate,[],
14,Negative,"['in-flight service', 'ticketing', 'seating', 'staff behavior', 'delays', 'safety']",Non-Immediate,[],
15,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'delays', 'safety']",Non-Immediate,[],
16,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior']",Immediate,['accident'],"Compared to the likes of EVA Air or Qatar Airways, British Airways Club World is by far the poor relation. Flew from Glasgow to New York via LHR, the seats have zero storage apart from the small drawer at floor level. It is astonishing that for the money they charge, you have to step over the legs of the person on your outside, especially if you accidentally trip and land on top of them. Food was satisfactory although a small bacon roll for breakfast was again a poor show. AVOD was also satisfactory. Apart from the flat bed, this just really doesn't have a premium feel about it. On our recent trip, on both legs, the crew were excellent, but the product from our national flag carrier simply is not worth the premium prices they charge."
17,Positive,"['in-flight service', 'ticketing', 'seating', 'delays', 'entertainment']",Non-Immediate,[],LHR-Washington on a 777-200. Trip got off to a good start in the BA Concorde 1st Class lounge. Nice champagne and a nice quiet ambiance which I like. The place is starting to show signs of wear and tear - with sagging seat cushions. Plane was latest 1st Class and there was only 7 passengers including my wife and I. It seemed a little larger than the 1st I travelled on a month ago on an A380. Maybe it was because of the hideous centre console (that houses he folding table) was smaller - rather than take up half the space. To start we had a small  appetizer  (an Amuse Bouche) which was absolutely hideous. A sort of grilled cheese with burnt bits on it and some sort of couscous. It was foul and we left the lot. Both had a langoustine starter which was ok. The mushrooms with it was wet and horrible texture to the mouth. The soup we both had was nice. My cod dish was very good. My wife said the steak two ways was ok. The braised part she did not eat. Wines all ok. Service from the FAs was fine. In terms of overall quality BA really fail consistently to deliver. As a matter of curiosity I sourced the on way price the day before we left; £5543 - one way. Its an insane price and if I paid that I would be furious as to the product I experienced. Travelling in 1st is only worth it on  sale  offers or Avios. We are travelling back in Club as in my experienced the slightly shorter flight home in First is not worth the money or the Avios. So disappointing. BA really are clueless when it comes to understanding  quality .
18,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'delays', 'cleanliness']",Immediate,[], 
19,Negative,"['in-flight service', 'ticketing', 'seating', 'staff behavior', 'cleanliness']",Immediate,[],"Bucharest to London Heathrow and the worst thing above all are the British Airways business class seats and the shocking lack of legroom. Cramped into a space which is less than many economy seats. And this was Club Europe! Poor breakfast - one slice of bacon, half tomato a few tinned mushrooms and an omelette so overcooked it was grey inside. Seat itself was comfortable and staff were good. Toilet waste bin had tape around it and so a sack was used for rubbish instead! Not a good flight overall."
20,Positive,"['in-flight service', 'ticketing', 'seating', 'staff behavior', 'delays', 'cleanliness']",Immediate,[],
